Dim : 220 X 20 X 40 mm3
Scan lenght : 200 mm
p=499.14 mm q= 4500 mm teta = 34.99 mrad
x(mm)	Slope(urad)	Slope-BestEllipse(urad)
80.25	2989.8532	-0.64436
80.5	2997.93091	-0.56035
80.75	3006.10807	-0.37239
81	3014.32314	-0.14205
81.25	3022.51234	0.06691
81.5	3030.60304	0.18184
81.75	3038.5475	0.15501
82	3046.40645	0.04712
82.25	3054.2657	-0.056
82.5	3062.20299	-0.07663
82.75	3070.26282	0.02974
83	3078.36475	0.18265
83.25	3086.41247	0.2858
83.5	3094.37123	0.30442
83.75	3102.24016	0.23764
84	3110.09248	0.15868
84.25	3117.99437	0.13372
84.5	3125.90973	0.12665
84.75	3133.79445	0.09334
85	3141.67447	0.05975
85.25	3149.58701	0.06308
85.5	3157.54419	0.11545
85.75	3165.54482	0.21567
86	3173.55948	0.3343
86.25	3181.56526	0.44845
86.5	3189.59352	0.58945
86.75	3197.66669	0.77974
87	3205.71742	0.95196
87.25	3213.68802	1.04842
87.5	3221.64935	1.13997
87.75	3229.69151	1.31671
88	3237.85298	1.61712
88.25	3246.12468	2.0321
88.5	3254.35876	2.41381
88.75	3262.41528	2.6223
89	3270.3247	2.68801
89.25	3278.12877	2.65272
89.5	3285.74405	2.43296
89.75	3293.11014	1.96833
90	3300.38401	1.4158
90.25	3307.7314	0.9411
90.5	3315.13575	0.52766
90.75	3322.55584	0.13428
91	3330.03427	-0.19647
91.25	3337.60718	-0.42845
91.5	3345.20114	-0.63508
91.75	3352.73678	-0.89576
92	3360.22048	-1.20408
92.25	3367.68156	-1.53075
92.5	3375.15525	-1.84054
92.75	3382.68376	-2.09124
93	3390.33148	-2.21847
93.25	3398.15048	-2.17017
93.5	3406.1215	-1.96558
93.75	3414.19274	-1.65652
94	3422.25339	-1.35381
94.25	3430.20634	-1.15456
94.5	3438.0682	-1.04217
94.75	3445.87582	-0.97978
95	3453.63326	-0.96334
95.25	3461.35161	-0.98177
95.5	3469.10289	-0.96306
95.75	3476.94604	-0.84825
96	3484.82677	-0.69166
96.25	3492.69114	-0.54721
96.5	3500.5998	-0.35428
96.75	3508.59693	-0.06869
97	3516.54621	0.17326
97.25	3524.31779	0.24168
97.5	3531.98796	0.21289
97.75	3539.66125	0.19139
98	3547.34893	0.18846
98.25	3555.05498	0.20807
98.5	3562.84752	0.31833
98.75	3570.76404	0.55674
99	3578.65545	0.77419
99.25	3586.37596	0.8249
99.5	3593.97974	0.76303
99.75	3601.57404	0.69583
100	3609.27847	0.7429
